id,label,v0,v1,v2,v3,v4,v5,v6,v7
0,electronics,8.3657,0.7520,7.9005,4.1287,5.6588,0.4374,7.1534,2.6205
1,electronics,7.9798,0.9763,8.0553,3.9334,8.0792,3.3527,7.5610,1.9688
2,electronics,8.4425,0.8493,8.0541,2.9401,7.7782,1.1829,8.4670,2.8146
3,electronics,7.4860,1.5774,7.6388,3.4385,8.4953,2.5170,9.5700,2.5123
4,electronics,7.3853,1.0235,7.7392,4.3548,7.8633,0.9918,6.0106,3.7807
5,electronics,8.8919,2.6518,6.2014,3.2786,8.1400,2.2624,8.0457,3.2683
6,electronics,8.8147,2.0811,7.3469,3.7575,6.2514,1.6164,6.4356,2.2333
7,electronics,7.6698,3.7939,5.9610,4.1619,5.9806,1.5981,7.1953,3.7035
8,electronics,8.8535,2.9520,6.5815,2.4452,9.0296,1.7704,5.4692,1.6401
9,electronics,6.8967,2.5966,7.1709,3.8286,7.4873,2.1902,7.7507,2.6288
10,electronics,8.5481,1.2057,6.5643,2.5419,6.5650,2.5844,6.4367,3.0150
11,electronics,8.5769,2.5358,7.7985,2.8818,7.4920,1.9043,4.9752,1.2635
12,electronics,6.4128,0.8033,7.4797,1.9134,7.5462,3.5591,6.5725,3.8850
13,electronics,6.8797,1.7535,5.8600,2.5932,9.0084,-0.0728,7.5213,3.2853
14,electronics,7.2870,0.2647,7.0866,2.3646,8.2792,2.0262,8.9221,2.7128
15,electronics,6.7718,2.2151,7.2640,4.6310,9.0021,2.4282,8.7560,1.5735
16,electronics,7.2323,0.8881,6.5322,1.3480,8.7622,1.7333,5.2350,1.7813
17,electronics,8.3762,3.0058,9.3961,6.4966,8.4973,0.8126,4.4415,3.3213
18,electronics,7.0245,1.5016,6.2655,2.8311,9.2792,2.1885,6.8096,1.7572
19,electronics,5.9904,1.4164,6.9355,5.1215,8.1563,3.1793,6.4008,1.5781
20,electronics,6.8419,1.1297,9.5542,2.0143,9.0062,0.9165,8.1179,3.4619
21,electronics,7.8120,1.9511,6.2143,3.5353,7.4540,0.5293,5.4665,3.2071
22,electronics,9.8949,2.1920,6.8576,3.3430,9.5672,2.2633,6.5069,4.3275
23,electronics,8.5145,3.8429,7.2199,1.5306,6.3582,3.9811,9.0684,2.7846
24,electronics,7.5402,3.7537,5.6715,1.9263,8.7720,1.5265,6.9939,2.8039
25,electronics,8.4051,3.6890,7.1087,3.7727,5.5398,1.9415,5.9881,1.5374
26,electronics,6.9462,1.5991,8.0991,1.4083,8.0368,1.4190,6.6068,4.2033
27,electronics,8.6457,3.6049,6.8146,2.1649,7.7314,2.2910,7.2119,1.6987
28,electronics,8.1086,2.2739,10.0210,5.2522,6.9761,1.6551,5.2439,2.2912
29,electronics,8.3787,3.4470,6.1251,2.2150,5.4233,1.8048,5.7251,2.3647
30,electronics,6.9478,1.8869,4.8907,1.2395,10.5551,0.4551,5.6839,5.2043
31,electronics,11.4861,0.5941,6.5581,3.4099,10.0744,0.8158,6.7057,3.9328
32,electronics,8.5217,1.5486,6.8394,1.3501,7.7142,1.6803,7.2786,2.3336
33,electronics,8.5658,3.2153,7.1865,3.4221,8.0638,2.0001,6.1341,3.3798
34,electronics,7.8833,4.5118,8.8880,3.4630,7.0843,0.6651,8.4294,3.3153
35,electronics,8.5762,-0.0935,8.1129,3.5453,6.6675,1.4342,7.3165,3.0630
36,electronics,7.6494,1.8758,6.6976,3.1831,9.7658,-1.0800,6.7158,3.2118
37,electronics,8.3552,1.5537,4.8919,3.3936,10.0728,0.1594,8.0366,2.6058
38,electronics,7.9264,0.7365,6.5987,4.5601,8.6992,4.0788,8.4129,3.5269
39,electronics,10.0927,2.5268,7.9936,2.6441,8.0799,1.1631,8.1875,1.5860
40,electronics,8.9388,1.7712,8.4055,3.9010,10.1848,2.8769,5.1136,2.9197
41,electronics,6.5936,1.3781,8.8135,3.7650,7.1613,0.7835,7.0393,1.5401
42,electronics,7.1946,2.3744,8.3864,3.7305,5.2505,2.3652,7.0864,3.4967
43,electronics,9.9395,-0.4759,6.2907,3.7091,6.1021,3.7711,7.4420,4.0159
44,electronics,7.3149,2.9765,8.2822,3.2795,8.2813,2.3244,5.9640,2.8230
45,electronics,7.8170,2.4601,8.1998,1.7298,7.8500,3.7777,6.1077,2.0133
46,electronics,8.2428,3.0133,7.0137,4.5948,9.0282,3.0102,7.6649,5.7932
47,electronics,7.7538,-0.4042,8.9251,2.4508,8.1295,3.5715,5.0773,1.4980
48,electronics,6.0785,1.0470,7.5276,3.6290,8.3315,0.3047,4.2279,3.0652
49,electronics,7.4339,2.5513,7.8423,3.1659,8.9122,2.2751,7.6361,2.1544
50,electronics,7.7845,2.2361,7.9846,2.5275,8.6254,1.6810,6.8589,3.9954
51,electronics,5.6083,0.4442,5.2214,0.1997,7.1861,2.8993,6.6581,3.2373
52,electronics,9.3071,3.5932,6.9170,4.6243,8.1106,0.9951,6.2867,1.2234
53,electronics,6.9342,1.5704,7.9643,5.0649,6.3414,2.4714,5.7513,3.5696
54,electronics,7.8427,-0.1971,8.1140,2.2740,7.3593,0.7163,6.2149,3.5135
55,electronics,7.7729,2.3944,7.4343,4.5848,7.5887,0.2278,8.2807,2.6022
56,electronics,9.3375,2.4601,6.8426,3.4185,10.3412,4.4924,7.0833,3.1922
57,electronics,9.2915,0.9852,7.3997,2.9690,8.3767,1.0000,5.0925,0.5124
58,electronics,6.6591,1.4496,6.6482,5.3247,9.3272,0.8455,7.4173,2.5115
59,electronics,7.6588,2.2224,7.7430,2.5929,9.2766,0.6297,7.0076,6.1172
60,furniture,2.2677,9.7199,3.1098,7.6969,1.9319,7.7955,2.0646,7.5164
61,furniture,0.9782,8.7987,4.3023,7.4398,1.6565,8.5448,2.6296,8.1227
62,furniture,-0.1977,7.5973,0.6110,5.2059,3.6366,9.0742,2.1366,5.1970
63,furniture,-1.5574,7.3478,5.9045,7.5219,1.3285,8.5581,1.1268,6.6432
64,furniture,2.1194,7.8967,3.9490,7.4136,2.8020,7.1740,4.0774,8.9547
65,furniture,0.8358,6.9348,4.6029,6.7704,3.6846,7.4690,4.7461,7.1578
66,furniture,2.3099,9.8777,2.5659,5.8707,1.4617,8.5428,1.1211,7.7650
